# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 778
stdtag;canontag;frsynonyme
quatrieme;prémolaire;quatrième
radio;panoramique;radio
radiographie;panoramique;radiographie
rechute;récidive;rechute
recidive;récidive;récidive
recul;distalisation;recul
redressement;alignement;redressement
relapse;récidive;relapse
retention;contention;retention
retour;récidive;retour
retroalveolie;rétroalvéolie;rétroalvéolie
retrocheilie;rétroalvéolie;rétrochéilie
retrognathe;classe ii d'angle;rétrognathe
retrognathie;classe ii d'angle;rétrognathie
retroinclinaison;rétroalvéolie;rétroinclinaison
retromandibulaire;classe ii d'angle;rétromandibulaire
retromandibulisme;classe ii d'angle;rétromandibulisme
retromaxillaire;classe iii d'angle;rétromaxillaire
retroposition;classe ii d'angle;rétroposition
retroversion;rétrusion;rétroversion
retrusion;rétrusion;rétrusion
rhizalyse;résorption radiculaire;rhizalyse
ronflement;apnée du sommeil;ronflement
rotation;rotation;rotation
saos;apnée du sommeil;saos
scaling;détartrage;scaling
scanner;scanner;scanner
sensibilite;douleur;sensibilité
separateur;écarteur;séparateur
separator;écarteur;separator
serrement;bruxisme;serrement
sixieme;molaire;sixième
slicing;stripping;slicing
souffrir;douleur;souffrir
space;diastème;space
spacing;spacing;spacing
speech;phonation;speech
stabilisation;contention;stabilisation
steel;métal;steel
straightening;alignement;straightening
stripping;stripping;stripping
succion;succion;succion
sucer;succion;sucer
sucotement;succion;sucotement
suivi;contrôle;suivi
superelastique;niti;superélastique
supernumeraire;dent surnuméraire;supernuméraire
supra;supraclusion;supra
supraclusion;supraclusion;supraclusion
supraocclusion;supraclusion;supraocclusion
supraposition;supraposition;supraposition
surfacage;détartrage;surfaçage
surgery;chirurgie;surgery
surjet;supraposition;surjet
surplomb;supraposition;surplomb
surveiller;contrôle;surveiller
swallowing;déglutition;swallowing
tads;minivis;tads
tef;ef;tef
telecrane;céphalométrie;télécrâne
teleradio;céphalométrie;téléradio
teleradiographie;céphalométrie;téléradiographie
tetine;succion;tétine
tie;ligature;tie
tipping;version;tipping
titane;métal;titane
titanium;métal;titanium
tmd;atm;tmd
tmj;atm;tmj
tomodensitometrie;scanner;tomodensitométrie
tomographie;scanner;tomographie
torque;torque;torque
translation;translation;translation
transparent;céramique;transparent
transposition;transposition;transposition
underbite;infraclusion;underbite
urgence;urgence;urgence
urgent;urgence;urgent
version;version;version
vestibuloversion;vestibulo-version;vestibuloversion
visite;consultation;visite
wire;arc;wire
