# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 539
stdadj;canonadj;canontag;frsynadj
prononcee;sévère;prognathisme mandibulaire;prononcée
prononcee;sévère;prognathisme maxillaire;prononcée
prononcee;sévère;rétroalvéolie;prononcée
prononces;sévère;béance;prononcés
prononces;sévère;bruxisme;prononcés
prononces;sévère;classe ii d'angle;prononcés
prononces;sévère;classe iii d'angle;prononcés
prononces;sévère;classe iii squelettique;prononcés
prononces;sévère;endoalvéolie;prononcés
prononces;sévère;proalvéolie;prononcés
prononces;sévère;prognathisme mandibulaire;prononcés
prononces;sévère;prognathisme maxillaire;prononcés
prononces;sévère;rétroalvéolie;prononcés
a gauche;gauche;béance;à gauche
a gauche;gauche;latérodéviation;à gauche
a gauche;gauche;malocclusion;à gauche
amovible;amovible;contention;amovible
amovible;amovible;ligature;amovible
arrieres;postérieur;béance;arrières
blessure;traumatique;chirurgie;blessure
centrale;central;diastemata;centrale
centrale;central;diastème;centrale
centrale;central;incisive;centrale
centraux;central;diastemata;centraux
centraux;central;diastème;centraux
centraux;central;incisive;centraux
complexe;sévère;béance;complexe
complexe;sévère;bruxisme;complexe
complexe;sévère;classe ii d'angle;complexe
complexe;sévère;classe iii d'angle;complexe
complexe;sévère;classe iii squelettique;complexe
complexe;sévère;endoalvéolie;complexe
complexe;sévère;proalvéolie;complexe
complexe;sévère;prognathisme mandibulaire;complexe
complexe;sévère;prognathisme maxillaire;complexe
complexe;sévère;rétroalvéolie;complexe
derriere;postérieur;béance;derrière
differee;différé;avulsion;différée
differes;différé;avulsion;différés
digitale;digital;succion;digitale
digitaux;digital;succion;digitaux
du matin;diurne;bruxisme;du matin
encombre;encombré;classe i d'angle;encombré
entieres;total;avulsion;entières
immediat;immédiat;avulsion;immédiat
incisifs;incisif;proalvéolie;incisifs
incisive;incisif;proalvéolie;incisive
incluses;inclus;dentition temporaire;incluses
infectee;infectieux;douleur;infectée
infectes;infectieux;douleur;infectés
integree;inclus;dentition temporaire;intégrée
integres;inclus;dentition temporaire;intégrés
laterale;latéral;béance;latérale
lateraux;latéral;béance;latéraux
le matin;diurne;bruxisme;le matin
majeures;sévère;béance;majeures
majeures;sévère;bruxisme;majeures
majeures;sévère;classe ii d'angle;majeures
majeures;sévère;classe iii d'angle;majeures
majeures;sévère;classe iii squelettique;majeures
majeures;sévère;endoalvéolie;majeures
majeures;sévère;proalvéolie;majeures
majeures;sévère;prognathisme mandibulaire;majeures
majeures;sévère;prognathisme maxillaire;majeures
majeures;sévère;rétroalvéolie;majeures
marquees;sévère;béance;marquées
marquees;sévère;bruxisme;marquées
marquees;sévère;classe ii d'angle;marquées
marquees;sévère;classe iii d'angle;marquées
marquees;sévère;classe iii squelettique;marquées
marquees;sévère;endoalvéolie;marquées
marquees;sévère;proalvéolie;marquées
