p;MS;Bruxisme;;bruxomanie,clenching,grincement,grinding,serrement,usure dentaire,grince des dents, grincent des dents, dents qui grincent;nocturne,diurne,sévère|grave|marqué|important,modéré|léger|bénin;nocturne,diurne,sévère,modéré;bruxomanie,bruxomanies,clenching,grincement,grincemente,grincements,grincementes,grinding,serrement,serremente,serrements,serrementes,usure dentaire,usures dentaires,grince des dents,grinces des dents,grincent des dents,grincents des dents,dents qui grincent,dents qui grincents;nocturne|nocturnes,diurne|diurnes,sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes
p;FS;micrognathie;;petite mâchoire,hypoplasie,mâchoire trop petite,déficit mandibulaire,déficit maxillaire;mandibulaire|inférieur,maxillaire|supérieur;mandibulaire,maxillaire;petite mâchoire,petites mâchoires,hypoplasie,hypoplasies,mâchoire trop petite,mâchoires trops petites,déficit mandibulaire,déficits mandibulaires,déficit maxillaire,déficits maxillaires;mandibulaire|mandibulaires|inférieur|inférieure|inférieurs|inférieures,maxillaire|maxillaires|supérieur|supérieure|supérieurs|supérieures
#;;;;;;;;
# OCCLUSIONS;;;;;;;;
#;;;;;;;;
p;FS;occlusion croisée;;crossbite,morsure croisée,articulé croisé;;;crossbite,morsure croisée,morsures croisées,articulé croisé,articulés croisés;
p;FS;occlusion inversée;;morsure inversée,occlusion inverse,articulé inversé;antérieur|avant,postérieur|arrière,droit,gauche;antérieure,postérieure,droite,gauche;morsure inversée,morsures inversées,occlusion inverse,occlusions inverses,articulé inversé,articulés inversés;antérieur|antérieure|antérieurs|antérieures|avant|avante|avants|avantes,postérieur|postérieure|postérieurs|postérieures|arrière|arrières,droit|droite|droits|droites,gauche|gauches
p;FS;supraclusion;;deep bite,morsure profonde,overbite,recouvrement vertical excessif,supraocclusion;prononcé|marqué|sévère,total|complet;prononcée,totale;deep bite,morsure profonde,morsures profondes,overbite,recouvrement vertical excessif,recouvrements verticaux excessifs,supraocclusion,supraocclusions;prononcé|prononcée|prononcés|prononcées|marqué|marquée|marqués|marquées|sévère|sévères,total|totale|totaux|totales|complet|complète|complets|complètes
p;FS;infraclusion;;underbite,sous-occlusion antérieure;;;underbite,sous-occlusion antérieure,sous-occlusions antérieures;
#;;;;;;;;
# POSITIONS ET VERSIONS DENTAIRES;;;;;;;;
#;;;;;;;;
p;FS;version;;inclinaison,tipping,basculement,inclinaison dentaire,bascule,mouvement de version;;;inclinaison,inclinaisonne,inclinaisons,inclinaisonnes,tipping,tippingue,tippings,tippingues,basculement,basculemente,basculements,basculementes,inclinaison dentaire,inclinaisons dentaires,bascule,bascules,mouvement de version,mouvements de versions;
p;FS;vestibulo-version;;vestibuloversion,versé en vestibulaire,incliné vers la joue,incliné vers l'extérieur,vestibulo-position;;;vestibuloversion,versé en vestibulaire,versés en vestibulaires,incliné vers la joue,inclinés vers la joues,incliné vers l'extérieur,inclinés vers l'extérieurs,vestibulo-position,vestibulo-positions;
p;FS;linguo-version;;linguoversion,versé en lingual,incliné vers la langue,inclinaison linguale;;;linguoversion,versé en lingual,versés en linguaux,incliné vers la langue,inclinés vers la langues,inclinaison linguale,inclinaisons linguales;
p;FS;égression;;extrusion,éruption,sortie dentaire,égression dentaire;;;extrusion,extrusions,éruption,éruptions,sortie dentaire,sorties dentaires,égression dentaire,égressions dentaires;
p;FS;ingression;;intrusion,enfoncement,intrusion dentaire,mouvement d'intrusion;;;intrusion,intrusions,enfoncement,enfoncemente,enfoncements,enfoncementes,intrusion dentaire,intrusions dentaires,mouvement d'intrusion,mouvements d'intrusions;
p;FS;supraposition;;supra-position,dent en supraposition,dent trop haute,supra-éruption,éruption excessive;;;supra-position,supra-positions,dent en supraposition,dents en suprapositions,dent trop haute,dents trops hautes,supra-éruption,supra-éruptions,éruption excessive,éruptions excessives;
p;FS;infraposition;;infra-position,dent en infraposition,dent trop basse,sous-éruption;;;infra-position,infra-positions,dent en infraposition,dents en infrapositions,dent trop basse,dents trops basses,sous-éruption,sous-éruptions;
#;;;;;;;;
# MOUVEMENTS ORTHODONTIQUES;;;;;;;;
#;;;;;;;;
p;FS;distalisation;;recul,déplacement distal,mouvement de distalisation;;;recul,reculle,reculs,reculles,déplacement distal,déplacements distaux,mouvement de distalisation,mouvements de distalisations;
p;FS;mésialisation;;avancement,déplacement mésial,mouvement de mésialisation;;;avancement,avancemente,avancements,avancementes,déplacement mésial,déplacements mésiaux,mouvement de mésialisation,mouvements de mésialisations;
p;FS;translation;;mouvement,déplacement corporel,mouvement corporel,déplacement en bloc,bodily movement,translation dentaire;;;mouvement,mouvemente,mouvements,mouvementes,déplacement corporel,déplacements corporels,mouvement corporel,mouvements corporels,déplacement en bloc,déplacements en blocs,bodily movement,bodilys movements,translation dentaire,translations dentaires;
p;MS;torque;;torsion radiculaire,rotation radiculaire,inclinaison radiculaire,angulation radiculaire,couple;;;torsion radiculaire,torsions radiculaires,rotation radiculaire,rotations radiculaires,inclinaison radiculaire,inclinaisons radiculaires,angulation radiculaire,angulations radiculaires,couple,couples;
#;;;;;;;;
# DÉVIATIONS ET ASYMÉTRIES;;;;;;;;
#;;;;;;;;
